codigo_dane,pai_et_municipios,establecimientos_educativos,matriculados,registrados,presentes,publicados
113654000173,SAN JACINTO,INSTITUCIÓN EDUCATIVA TÉCNICA AGRÍCOLA DE SAN JACINTO,62,57,54,54
213654000241,SAN JACINTO,INSTITUCIÓN EDUCATIVA LEON XIII,54,53,53,53
213654000038,SAN JACINTO,INSTITUCIÓN EDUCATIVA EL PARAISO,23,21,21,21
213006000103,SAN JACINTO DEL CAUCA,INSTITUCIÓN EDUCATIVA TÉCNICA AGROINDUSTRIAL NUEVA GENERACIÓN DE ASTILLEROS,27,28,28,28
213006001746,SAN JACINTO DEL CAUCA,INSTITUCIÓN EDUCATIVA TÉCNICA AGROPECUARIA DE GALINDO,24,21,21,21
213006002475,SAN JACINTO DEL CAUCA,INSTITUCION EDUCATIVA DE TENCHE,13,13,13,13
213006001649,SAN JACINTO DEL CAUCA,INSTITUCION EDUCATIVA PLACIDO RETAMOZA,47,41,41,41
413657000615,SAN JUAN NEPOMUCENO,INSTITUCION EDUCATIVA SAN PEDRO CONSOLADO,10,10,9,9
11365700059,SAN JUAN NEPOMUCENO,INSTITUCIÓN EDUCATIVA ACADÉMICA Y TÉCNICA EN GESTIÓN EMPRESARIAL DIÓGENES A. ARRIETA,108,111,104,104
113657000522,SAN JUAN NEPOMUCENO,INSTITUCIÓN EDUCATIVA TÉCNICA EN SISTEMAS LA FLORESTA,29,28,27,27
113657000018,SAN JUAN NEPOMUCENO,INSTITUCIÓN EDUCATIVA  NORMAL SUPERIOR MONTES DE MARÍA,184,184,182,182
213657000586,SAN JUAN NEPOMUCENO,INSTITUCION EDUCATIVA SAN CAYETANO,56,55,55,55
113657000107,SAN JUAN NEPOMUCENO,INSTITUCION EDUCATIVA TECNICA RODOLFO BARRIOS CABRERA,48,43,37,37
313657000653,SAN JUAN NEPOMUCENO,COLEGIO DARIO ARRIETA YEPEZ,7,7,7,7
21366700105,SAN MARTÍN DE LOBA,INSTITUCIÓN EDUCATIVA TÉCNICA PESQUERA LEONIDAS ORTIZ ALVEAR DE CHIMÍ,6,5,5,5
213667001271,SAN MARTÍN DE LOBA,INSTITUCIÓN EDUCATIVA DE PLAYITAS,18,13,13,13
213667000649,SAN MARTÍN DE LOBA,INSTITUCIÓN EDUCATIVA TÉCNICA AGROPECUARIA ELVIRA LÓPEZ DE FACIOLINCE,17,19,18,18
113667000016,SAN MARTÍN DE LOBA,INSTITUCIÓN EDUCATIVA TÉCNICA AGROPECUARIA Y MINERA DE SAN MARTÍN DE LOBA,74,104,103,103
213667001084,SAN MARTÍN DE LOBA,INSTITUCIÓN EDUCATIVA TÉCNICA COMERCIAL DE SAN MARTÍN DE LOBA,55,56,56,56
213667000614,SAN MARTÍN DE LOBA,INSTITUCIÓN EDUCATIVA CERROS DE JULIO,16,10,10,10
213670001214,SAN PABLO,INSTITUCION EDUCATIVA DE CANALETAL,14,14,14,14
